,Classifier,Parameter,Score,Selected
0,AdaBoost,"(4, 5)",0.4956855225311601,False
1,AdaBoost,"(4, 10)",0.49185043144774687,False
2,AdaBoost,"(4, 15)",0.4779482262703739,False
3,AdaBoost,"(4, 20)",0.48178331735378715,False
4,AdaBoost,"(4, 25)",0.49041227229146694,False
5,AdaBoost,"(4, 30)",0.4913710450623202,False
6,AdaBoost,"(4, 35)",0.48178331735378715,False
7,AdaBoost,"(4, 40)",0.47890699904122724,False
8,AdaBoost,"(4, 45)",0.47746883988494726,False
9,AdaBoost,"(4, 50)",0.47746883988494726,False
10,AdaBoost,"(4, 55)",0.47651006711409394,False
11,AdaBoost,"(4, 60)",0.47746883988494726,False
12,AdaBoost,"(4, 65)",0.47603068072866733,False
13,AdaBoost,"(4, 70)",0.47315436241610737,False
14,AdaBoost,"(4, 75)",0.47555129434324067,False
15,AdaBoost,"(4, 80)",0.475071907957814,False
16,AdaBoost,"(4, 85)",0.46931927133269413,False
17,AdaBoost,"(4, 90)",0.4697986577181208,False
18,AdaBoost,"(4, 95)",0.47746883988494726,False
19,AdaBoost,"(4, 100)",0.49760306807286675,False
20,AdaBoost,"(6, 5)",0.5292425695110259,True
21,AdaBoost,"(6, 10)",0.5268456375838926,True
22,AdaBoost,"(6, 15)",0.5268456375838926,True
23,AdaBoost,"(6, 20)",0.5311601150527325,True
24,AdaBoost,"(6, 25)",0.5321188878235859,True
25,AdaBoost,"(6, 30)",0.5330776605944392,True
26,AdaBoost,"(6, 35)",0.5287631831255992,True
27,AdaBoost,"(6, 40)",0.5230105465004794,True
28,AdaBoost,"(6, 45)",0.5186960690316395,True
29,AdaBoost,"(6, 50)",0.5215723873441994,True
30,AdaBoost,"(6, 55)",0.5162991371045063,True
31,AdaBoost,"(6, 60)",0.5153403643336529,True
32,AdaBoost,"(6, 65)",0.5206136145733461,True
33,AdaBoost,"(6, 70)",0.5210930009587728,True
34,AdaBoost,"(6, 75)",0.5273250239693192,True
35,AdaBoost,"(6, 80)",0.5282837967401726,True
36,AdaBoost,"(6, 85)",0.5210930009587728,True
37,AdaBoost,"(6, 90)",0.5143815915627996,True
38,AdaBoost,"(6, 95)",0.513902205177373,True
39,AdaBoost,"(6, 100)",0.5182166826462129,True
40,AdaBoost,"(8, 5)",0.537392138063279,True
41,AdaBoost,"(8, 10)",0.5220517737296261,True
42,AdaBoost,"(8, 15)",0.4721955896452541,False
43,AdaBoost,"(8, 20)",0.4784276126558006,False
44,AdaBoost,"(8, 25)",0.4779482262703739,False
45,AdaBoost,"(8, 30)",0.4769894534995206,False
46,AdaBoost,"(8, 35)",0.46883988494726747,False
47,AdaBoost,"(8, 40)",0.4697986577181208,False
48,AdaBoost,"(8, 45)",0.4650047938638543,False
49,AdaBoost,"(8, 50)",0.46883988494726747,False
50,AdaBoost,"(8, 55)",0.4793863854266539,False
51,AdaBoost,"(8, 60)",0.46836049856184087,False
52,AdaBoost,"(8, 65)",0.4779482262703739,False
53,AdaBoost,"(8, 70)",0.4769894534995206,False
54,AdaBoost,"(8, 75)",0.47603068072866733,False
55,AdaBoost,"(8, 80)",0.47603068072866733,False
56,AdaBoost,"(8, 85)",0.47027804410354745,False
57,AdaBoost,"(8, 90)",0.47171620325982744,False
58,AdaBoost,"(8, 95)",0.4721955896452541,False
59,AdaBoost,"(8, 100)",0.47027804410354745,False
60,AdaBoost,"(10, 5)",0.4956855225311601,False
61,AdaBoost,"(10, 10)",0.5263662511984659,True
62,AdaBoost,"(10, 15)",0.5206136145733461,True
63,AdaBoost,"(10, 20)",0.5067114093959731,True
64,AdaBoost,"(10, 25)",0.5052732502396932,True
65,AdaBoost,"(10, 30)",0.5134228187919463,True
66,AdaBoost,"(10, 35)",0.5071907957813998,True
67,AdaBoost,"(10, 40)",0.5057526366251198,True
68,AdaBoost,"(10, 45)",0.5004793863854267,True
69,AdaBoost,"(10, 50)",0.5091083413231065,True
70,AdaBoost,"(10, 55)",0.5076701821668265,True
71,AdaBoost,"(10, 60)",0.5071907957813998,True
72,AdaBoost,"(10, 65)",0.513902205177373,True
73,AdaBoost,"(10, 70)",0.5023969319271333,True
74,AdaBoost,"(10, 75)",0.512464046021093,True
75,AdaBoost,"(10, 80)",0.5167785234899329,True
76,AdaBoost,"(10, 85)",0.5119846596356663,True
77,AdaBoost,"(10, 90)",0.5134228187919463,True
78,AdaBoost,"(10, 95)",0.512464046021093,True
79,AdaBoost,"(10, 100)",0.5038350910834132,True
80,AdaBoost,"(12, 5)",0.5081495685522531,True
81,AdaBoost,"(12, 10)",0.49232981783317353,False
82,AdaBoost,"(12, 15)",0.4980824544582934,False
83,AdaBoost,"(12, 20)",0.49185043144774687,False
84,AdaBoost,"(12, 25)",0.4865771812080537,False
85,AdaBoost,"(12, 30)",0.487535953978907,False
86,AdaBoost,"(12, 35)",0.5033557046979866,True
87,AdaBoost,"(12, 40)",0.48178331735378715,False
88,AdaBoost,"(12, 45)",0.4884947267497603,False
89,AdaBoost,"(12, 50)",0.48370086289549374,False
90,AdaBoost,"(12, 55)",0.48322147651006714,False
91,AdaBoost,"(12, 60)",0.47555129434324067,False
92,AdaBoost,"(12, 65)",0.4741131351869607,False
93,AdaBoost,"(12, 70)",0.4635666347075743,False
94,AdaBoost,"(12, 75)",0.4664429530201342,False
95,AdaBoost,"(12, 80)",0.4707574304889741,False
96,AdaBoost,"(12, 85)",0.46931927133269413,False
97,AdaBoost,"(12, 90)",0.46404602109300097,False
98,AdaBoost,"(12, 95)",0.47603068072866733,False
99,AdaBoost,"(12, 100)",0.47315436241610737,False
100,AdaBoost,"(14, 5)",0.4971236816874401,False
101,AdaBoost,"(14, 10)",0.5043144774688398,True
102,AdaBoost,"(14, 15)",0.5,False
103,AdaBoost,"(14, 20)",0.5067114093959731,True
104,AdaBoost,"(14, 25)",0.5033557046979866,True
105,AdaBoost,"(14, 30)",0.5081495685522531,True
106,AdaBoost,"(14, 35)",0.49185043144774687,False
107,AdaBoost,"(14, 40)",0.48609779482262705,False
108,AdaBoost,"(14, 45)",0.4865771812080537,False
109,AdaBoost,"(14, 50)",0.49520613614573344,False
110,AdaBoost,"(14, 55)",0.49089165867689355,False
111,AdaBoost,"(14, 60)",0.48322147651006714,False
112,AdaBoost,"(14, 65)",0.48609779482262705,False
113,AdaBoost,"(14, 70)",0.48370086289549374,False
114,AdaBoost,"(14, 75)",0.4841802492809204,False
115,AdaBoost,"(14, 80)",0.487535953978907,False
116,AdaBoost,"(14, 85)",0.48705656759348037,False
117,AdaBoost,"(14, 90)",0.48370086289549374,False
118,AdaBoost,"(14, 95)",0.4865771812080537,False
119,AdaBoost,"(14, 100)",0.4947267497603068,False
120,RandomForest,2,0.49856184084372,False
121,RandomForest,4,0.5115052732502396,True
122,RandomForest,6,0.4956855225311601,False
123,RandomForest,8,0.47603068072866733,False
124,RandomForest,10,0.4942473633748802,False
125,RandomForest,12,0.49952061361457334,False
126,RandomForest,14,0.5009587727708533,True
127,RandomForest,16,0.5105465004793864,True
128,RandomForest,18,0.5100671140939598,True
129,RandomForest,20,0.5100671140939598,True
130,RandomForest,22,0.5071907957813998,True
131,RandomForest,24,0.5033557046979866,True
132,RandomForest,26,0.5076701821668265,True
133,RandomForest,28,0.5057526366251198,True
134,RandomForest,30,0.5091083413231065,True
135,RandomForest,32,0.513902205177373,True
136,RandomForest,34,0.5095877277085331,True
137,RandomForest,36,0.5,False
138,RandomForest,38,0.49616490891658677,False
139,RandomForest,40,0.48609779482262705,False
140,RandomForest,42,0.49089165867689355,False
141,RandomForest,44,0.4798657718120805,False
142,RandomForest,46,0.48322147651006714,False
143,RandomForest,48,0.48801534036433364,False
144,RandomForest,50,0.4798657718120805,False
145,RandomForest,52,0.47555129434324067,False
146,RandomForest,54,0.47027804410354745,False
147,RandomForest,56,0.4793863854266539,False
148,RandomForest,58,0.4741131351869607,False
149,RandomForest,60,0.4741131351869607,False
150,RandomForest,62,0.473633748801534,False
151,RandomForest,64,0.48034515819750717,False
152,RandomForest,66,0.4741131351869607,False
153,RandomForest,68,0.4726749760306807,False
154,RandomForest,70,0.4726749760306807,False
155,RandomForest,72,0.48082454458293383,False
156,RandomForest,74,0.49185043144774687,False
157,RandomForest,76,0.48801534036433364,False
158,RandomForest,78,0.48705656759348037,False
159,RandomForest,80,0.48705656759348037,False
160,RandomForest,82,0.4865771812080537,False
161,RandomForest,84,0.4841802492809204,False
162,RandomForest,86,0.48609779482262705,False
163,RandomForest,88,0.4841802492809204,False
164,RandomForest,90,0.4851390220517737,False
165,RandomForest,92,0.48465963566634707,False
166,RandomForest,94,0.48609779482262705,False
167,RandomForest,96,0.48465963566634707,False
168,RandomForest,98,0.48178331735378715,False
169,RandomForest,100,0.4822627037392138,False
170,SVM,"(0.1, 0.1)",0.4721955896452541,False
171,SVM,"(0.1, 0.5)",0.4721955896452541,False
172,SVM,"(0.1, 1)",0.4721955896452541,False
173,SVM,"(0.1, 10)",0.4721955896452541,False
174,SVM,"(0.1, 100)",0.4721955896452541,False
175,SVM,"(0.1, 1000)",0.4721955896452541,False
176,SVM,"(0.5, 0.1)",0.47315436241610737,False
177,SVM,"(0.5, 0.5)",0.47027804410354745,False
178,SVM,"(0.5, 1)",0.46836049856184087,False
179,SVM,"(0.5, 10)",0.4721955896452541,False
180,SVM,"(0.5, 100)",0.4721955896452541,False
181,SVM,"(0.5, 1000)",0.4721955896452541,False
182,SVM,"(1, 0.1)",0.4726749760306807,False
183,SVM,"(1, 0.5)",0.46883988494726747,False
184,SVM,"(1, 1)",0.4707574304889741,False
185,SVM,"(1, 10)",0.4721955896452541,False
186,SVM,"(1, 100)",0.4721955896452541,False
187,SVM,"(1, 1000)",0.4721955896452541,False
188,SVM,"(10, 0.1)",0.4793863854266539,False
189,SVM,"(10, 0.5)",0.473633748801534,False
190,SVM,"(10, 1)",0.4678811121764142,False
191,SVM,"(10, 10)",0.47171620325982744,False
192,SVM,"(10, 100)",0.4721955896452541,False
193,SVM,"(10, 1000)",0.4721955896452541,False
194,SVM,"(100, 0.1)",0.5191754554170661,True
195,SVM,"(100, 0.5)",0.4741131351869607,False
196,SVM,"(100, 1)",0.46836049856184087,False
197,SVM,"(100, 10)",0.4721955896452541,False
198,SVM,"(100, 100)",0.4721955896452541,False
199,SVM,"(100, 1000)",0.4721955896452541,False
200,SVM,"(1000, 0.1)",0.5225311601150527,True
201,SVM,"(1000, 0.5)",0.5230105465004794,True
202,SVM,"(1000, 1)",0.4678811121764142,False
203,SVM,"(1000, 10)",0.4721955896452541,False
204,SVM,"(1000, 100)",0.4721955896452541,False
205,SVM,"(1000, 1000)",0.4721955896452541,False
